listing_id,sentiment_score
1419,0.93
2843,0.7
8077,0.91
13188,0.81
13358,0.81
13490,0.91
14267,0.85
16254,0.88
16611,0.31
17765,0.82
18270,0.88
18589,0.81
18795,0.73
20085,0.87
24273,0.89
26047,0.88
26654,0.84
27423,0.92
29059,0.7
29061,0.7
30931,0.94
33150,0.83
34715,0.66
35304,0.87
36301,0.78
38118,0.73
40456,0.85
40701,0.94
41168,0.71
42645,0.85
43964,0.83
44452,0.71
44469,0.55
45399,0.67
45453,0.76
45893,0.7
49736,0.84
50110,0.76
50479,0.65
51616,0.79
62545,0.88
64635,0.76
64641,0.91
66247,0.79
66276,0.84
66856,0.7
70489,0.89
70801,0.84
73841,0.85
75065,0.88
77157,0.84
83515,0.91
85267,0.78
96336,0.88
98830,0.86
99859,0.84
112842,0.91
116831,0.83
119441,0.81
131401,0.68
134688,0.81
135275,0.7
137443,0.73
138381,0.69
140698,0.89
142722,0.81
145013,0.65
146601,0.84
160600,0.78
160639,0.71
164087,0.72
165108,0.35
168331,0.72
171627,0.97
172827,0.84
180947,0.7
182142,0.75
182451,0.9
184784,0.93
185732,0.83
190003,1.0
192335,0.86
192860,0.88
193366,0.84
196584,0.84
196722,0.72
198548,0.61
201427,0.88
201441,0.89
203416,0.9
206647,0.88
207206,0.92
208337,0.48
211602,0.74
214967,0.7
219261,0.78
224775,0.83
226028,0.91
226030,0.69
228568,0.84
231472,0.6
232794,0.53
233584,0.54
234198,0.75
237053,0.85
237216,0.55
238705,0.57
239449,0.76
241212,0.39
248014,0.83
248939,0.78
248940,0.67
251549,0.94
254657,0.88
256043,0.55
256178,0.84
261065,0.88
261800,0.75
262688,0.73
266300,0.98
285349,0.47
285497,0.75
286671,0.7
288341,0.77
290033,0.95
291629,0.61
293760,0.5
306192,0.92
307726,0.74
311354,0.43
314459,0.85
319695,0.83
322824,0.91
331764,0.44
335446,0.91
339418,0.66
348647,0.8
351671,0.75
353210,0.64
359942,0.93
361557,0.85
361572,0.74
361573,0.77
363057,0.82
366300,0.96
366973,0.94
377706,0.84
380910,0.83
387077,0.86
390395,0.77
393873,0.86
394086,0.87
401073,0.83
401823,0.79
403200,0.85
405558,0.76
406646,0.62
408315,0.9
410541,0.82
410542,0.68
413276,0.9
416010,0.46
416786,0.68
417778,0.88
418104,0.6
418607,0.77
425582,0.81
426532,0.82
429943,0.81
436032,0.82
451945,0.51
453936,0.78
456371,0.84
457588,0.76
461370,0.78
461386,0.74
461498,0.77
461499,0.77
462366,0.83
463027,0.77
464172,0.82
464384,0.76
466650,0.87
472025,0.92
473827,0.83
475296,0.83
479450,0.9
481023,0.81
487610,0.94
488221,0.7
490182,0.78
495303,0.81
496298,0.85
498112,0.88
500701,0.82
507767,0.76
511509,0.77
514811,0.89
515418,0.79
516823,0.82
517709,0.88
519108,0.64
522094,0.82
526401,0.86
526594,0.53
526705,0.92
527449,0.49
528492,0.87
529227,0.89
529256,0.85
533659,0.82
534948,0.86
540348,0.87
542160,0.63
543810,0.95
547777,0.98
555737,0.84
556742,0.56
557357,0.87
559726,0.66
561477,0.89
564098,0.62
565545,0.68
571429,0.81
573892,0.85
583029,0.61
589770,0.64
593324,0.59
602407,0.65
616408,0.72
622217,0.82
624078,0.89
625396,0.82
625877,0.88
625942,0.89
635179,0.43
637533,0.66
638500,0.91
638586,0.78
643389,0.72
643916,0.91
644898,0.77
646363,0.51
648026,0.83
648178,0.68
654048,0.9
655522,0.91
659986,0.79
660733,0.59
661569,0.73
662501,0.72
666592,0.67
666670,0.69
668372,0.85
674799,0.65
682632,0.64
682634,0.8
687407,0.83
697198,0.45
700477,0.68
701230,0.88
702286,0.87
703124,0.78
703133,0.88
703179,0.8
708096,0.82
713271,0.86
720581,0.64
726334,0.65
728677,0.45
728817,0.89
731219,0.94
734855,0.96
735468,0.8
739882,0.57
739975,0.82
743359,0.73
744424,0.72
744459,0.69
755459,0.91
755558,0.75
756619,0.75
756784,0.88
759953,0.99
760558,0.71
762143,0.59
767978,0.48
771141,0.82
771366,0.82
771380,0.83
773339,0.78
774352,0.83
777132,0.69
779670,0.99
784093,0.86
784153,0.92
785297,0.9
788710,0.93
790887,0.81
791012,0.96
794506,0.84
796027,0.83
796501,0.89
799800,0.84
801222,0.92
811395,0.91
818228,0.79
820177,0.85
822085,0.87
823111,0.83
835116,0.7
839318,0.36
840608,0.79
849500,0.83
850970,0.86
854388,0.98
855991,0.72
856136,0.46
858051,0.72
865853,0.53
869558,0.8
872640,0.73
875309,0.91
875315,0.49
876406,0.88
878309,0.49
878904,0.58
879191,0.86
879202,0.61
883109,0.76
885600,0.82
889347,0.31
890444,0.52
892352,0.85
898804,0.46
902575,0.88
908807,0.9
909980,0.5
910427,0.83
921532,0.75
923427,0.86
927964,0.18
929583,0.46
936367,0.86
936438,0.44
937926,0.45
938150,0.37
939467,0.88
939730,0.46
942837,0.76
943979,0.78
950053,0.94
950843,0.77
954475,0.52
954935,0.74
955073,0.58
955446,0.81
955575,0.88
956250,0.96
958090,0.64
959676,0.83
973849,0.92
980511,0.68
985003,0.79
985260,0.97
985498,0.87
985648,0.78
987285,0.53
987450,0.77
990322,0.83
995174,0.86
996300,0.86
997400,0.37
1001438,0.89
1001559,0.69
1009656,0.83
1012385,0.83
1014369,0.37
1015935,0.83
1015996,0.94
1019168,0.74
1022114,0.52
1022764,0.9
1026310,0.88
1030061,0.71
1032892,0.8
1033151,0.79
1033162,0.64
1036076,0.84
1037034,0.88
1038822,0.78
1042311,0.77
1046057,0.92
1053838,0.81
1055500,0.87
1057144,0.94
1058442,0.83
1066205,0.82
1066718,0.84
1066963,0.8
1067530,0.5
1075759,0.66
1077140,0.94
1078559,0.48
1080121,0.81
1080149,0.91
1080266,0.91
1080594,0.84
1092407,0.82
1103650,0.64
1109821,0.77
1110760,0.75
1113551,0.91
1114544,0.93
1114575,0.93
1118858,0.72
1135175,0.61
1135356,0.84
1135500,0.62
1137223,0.81
1141457,0.8
1145641,0.7
1150719,0.75
1151370,0.72
1151635,0.68
1153863,0.91
1156413,0.73
1156460,0.95
1161888,0.86
1162480,0.84
1163664,0.67
1170889,0.95
1174893,0.94
1175489,0.7
1177300,0.62
1178149,0.88
1183363,0.81
1186607,0.95
1187929,0.75
1191143,0.86
1194888,0.65
1194984,0.88
1196880,0.96
1199731,0.81
1202446,0.65
1209935,0.85
1213399,0.77
1214297,0.8
1214617,0.85
1216960,0.92
1221280,0.95
1221366,0.73
1223097,0.87
1223837,0.83
1229506,0.92
1229714,0.9
1231516,0.55
1232374,0.71
1237030,0.89
1238669,0.54
1240632,0.42
1242493,0.86
1242683,0.87
1244138,0.77
1254468,0.84
1266591,0.77
1269925,0.83
1273760,0.84
1279122,0.94
1294243,0.9
1295158,0.85
1296772,0.33
1297164,0.83
1298140,0.81
1299374,0.79
1301718,0.72
1309315,0.95
1316477,0.69
1320736,0.74
1321398,0.87
1326015,0.92
1331304,0.89
1331571,0.58
1332621,0.93
1335133,0.91
1339165,0.54
1343411,0.81
1343519,0.56
1348067,0.85
1352981,0.91
1360765,0.85
1365609,0.84
1365638,0.88
1367805,0.65
1369701,0.93
1370412,0.64
1374884,0.64
1377713,0.65
1378220,0.74
1382367,0.72
1386010,0.92
1393599,0.99
1406193,0.59
1422877,0.79
1423359,0.75
1426591,0.95
1426712,0.72
1429004,0.92
1431103,0.83
1437207,0.85
1438200,0.79
1446069,0.92
1447970,0.67
1450947,0.84
1455503,0.83
1456369,0.89
1458435,0.64
1462084,0.86
1462416,0.65
1473849,0.65
1475233,0.85
1477940,0.79
1486931,0.88
1489389,0.81
1496979,0.62
1501912,0.54
1502401,0.09
1502887,0.89
1507975,0.75
1514235,0.93
1516068,0.47
1524783,0.48
1525113,0.63
1526583,0.75
1529013,0.9
1535322,0.81
1544844,0.44
1546244,0.82
1550684,0.94
1550882,0.82
1552251,0.82
1554581,0.89
1554643,0.83
1555580,0.67
1559076,0.92
1560504,0.88
1560977,0.81
1562481,0.84
1564089,0.96
1570103,0.84
1571302,0.79
1577452,0.41
1578070,0.92
1581691,0.63
1589014,0.77
1592606,0.47
1594005,0.85
1594053,0.76
1598460,0.97
1601488,0.78
1604069,0.83
1605448,0.83
1606972,0.98
1610027,0.69
1610084,0.82
1623556,0.78
1625194,0.73
1631083,0.62
1631386,0.78
1632898,0.87
1636029,0.9
1638995,0.9
1641234,0.88
1645445,0.81
1646214,0.88
1651958,0.75
1652086,0.65
1652220,0.65
1654750,0.69
1656504,0.88
1656607,0.85
1657214,0.98
1663916,0.85
1664166,0.84
1668445,0.67
1668582,0.73
1672868,0.87
1673003,0.92
1683153,0.91
1685875,0.7
1698827,0.72
1703616,0.71
1703622,0.75
1711196,0.91
1717967,0.84
1718363,0.84
1720832,0.89
1722517,0.81
1732392,0.75
1732533,0.83
1733307,0.79
1755790,0.54
1762021,0.9
1766713,0.88
1768817,0.87
1774018,0.82
1779167,0.79
1785285,0.79
1803281,0.77
1806883,0.55
1820689,0.9
1820919,0.88
1825544,0.91
1825630,0.93
1826554,0.88
1827668,0.83
1830733,0.87
1838648,0.78
1844027,0.7
1844121,0.87
1850984,0.82
1851104,0.68
1851589,0.39
1856109,0.72
1869071,0.4
1869544,0.82
1875887,0.48
1876510,0.82
1886850,0.81
1890203,0.82
1891100,0.86
1897071,0.8
1908873,0.76
1912628,0.83
1912746,0.89
1920804,0.92
1925448,0.76
1931961,0.89
1932171,0.95
1937092,0.82
1945120,0.93
1948248,0.85
1950048,0.84
1962072,0.89
1972258,0.74
1979239,0.52
1986934,0.83
1992288,0.89
1993822,0.93
1995592,0.74
2003897,0.95
2011559,0.92
2014326,0.62
2015937,0.9
2020201,0.95
2027067,0.85
2027990,0.59
2033520,0.85
2033952,0.86
2036252,0.77
2036814,0.95
2037495,0.82
2041582,0.87
2041714,0.75
2042431,0.89
2045208,0.75
2045477,0.45
2056676,0.75
2061445,0.9
2068172,0.94
2076200,0.81
2080456,0.41
2082829,0.91
2083165,0.57
2084273,0.82
2092610,0.83
2104845,0.99
2106364,0.85
2117841,0.71
2123691,0.96
2124858,0.87
2126181,0.98
2128631,0.86
2131283,0.44
2133810,0.59
2138626,0.8
2138766,0.95
2138926,0.84
2140350,0.82
2140635,0.93
2148350,0.9
2148508,0.79
2149566,0.88
2150181,0.97
2163742,0.78
2164586,0.95
2165395,0.93
2168943,0.91
2171366,0.89
2178331,0.75
2183209,0.83
2188717,0.89
2198419,0.88
2203437,0.83
2203513,0.47
2207257,0.8
2210744,0.81
2216062,0.93
2217230,0.81
2223204,0.72
2226745,0.99
2238241,0.55
2254170,0.72
2267889,0.69
2269269,0.91
2272479,0.91
2274060,0.65
2281831,0.75
2296506,0.75
2310328,0.53
2316010,0.98
2316048,0.8
2316147,0.88
2319682,0.86
2320893,0.86
2329180,0.85
2336683,0.91
2356108,0.78
2356555,0.64
2357303,0.66
2357471,0.46
2365994,0.87
2374455,0.88
2380048,0.75
2392116,0.56
2407187,0.8
2409039,0.84
2413073,0.93
2413434,0.6
2415062,0.41
2426058,0.72
2435178,0.77
2436090,0.85
2447970,0.73
2453778,0.82
2454353,0.85
2455032,0.95
2455129,0.82
2459983,0.88
2460213,0.77
2468156,0.92
2468591,0.75
2472791,0.68
2474185,0.65
2474327,0.81
2478644,0.79
2483875,0.86
2487717,0.73
2488004,0.9
2488787,0.9
2493042,0.94
2494635,0.83
2502137,0.81
2514605,0.66
2516271,0.74
2524236,0.78
2524564,0.9
2529752,0.55
2531934,0.86
2532975,0.69
2536696,0.92
2536954,0.9
2544515,0.86
2550351,0.83
2550699,0.88
2558458,0.69
2560212,0.83
2564039,0.82
2565203,0.8
2571251,0.55
2576878,0.9
2578139,0.61
2586672,0.59
2592307,0.8
2592785,0.77
2597511,0.78
2600175,0.89
2611791,0.95
2618025,0.81
2620360,0.56
2628616,0.64
2644110,0.94
2653578,0.76
2658803,0.75
2664825,0.87
2666562,0.8
2666635,0.85
2669445,0.73
2675179,0.9
2681527,0.82
2682515,0.81
2683607,0.9
2684516,0.78
2684786,0.68
2685512,0.88
2692019,0.8
2695286,0.84
2701863,0.88
2703124,0.75
2709790,0.83
2709965,0.72
2710628,0.64
2713693,0.79
2715650,0.62
2715741,0.84
2721128,0.78
2723294,0.63
2730555,0.88
2736265,0.76
2738455,0.68
2745462,0.84
2746284,0.93
2746751,0.84
2748000,0.98
2748050,0.88
2755243,0.95
2755328,0.86
2756438,0.88
2764812,0.77
2768004,0.0
2770659,0.83
2771699,0.87
2774695,0.87
2777765,0.76
2785516,0.81
2803587,0.55
2807413,0.93
2812038,0.87
2815533,0.6
2817835,0.81
2818153,0.89
2836478,0.9
2839203,0.63
2847310,0.87
2854775,0.68
2855254,0.93
2855300,0.79
2858425,0.91
2863021,0.73
2867422,0.6
2874927,0.87
2878270,0.67
2881715,0.92
2883153,0.84
2888365,0.76
2906218,0.9
2908087,0.81
2914674,0.47
2918244,0.79
2930411,0.88
2930811,0.51
2944104,0.81
2949838,0.64
2958786,0.81
2969361,0.86
2970506,0.81
2970733,0.91
2985232,0.86
2988185,0.36
2988248,0.81
2988465,0.81
2988568,0.76
2989546,0.9
2993831,0.8
2997001,0.82
2997407,0.83
2997414,0.96
2998484,0.85
3001121,0.75
3001761,0.76
3004964,0.91
3005200,0.82
3006119,0.66
3010203,0.62
3018758,0.97
3027057,0.89
3028706,0.66
3031632,0.5
3031674,0.94
3032302,0.8
3042711,0.89
3043831,0.26
3051385,0.78
3068198,0.98
3073209,0.8
3080917,0.88
3084861,0.87
3093219,0.89
3094294,0.82
3094299,0.29
3100878,0.93
3101045,0.35
3110141,0.63
3110592,0.55
3110790,0.36
3111227,0.44
3111369,0.43
3112270,0.96
3119119,0.82
3120244,0.63
3121627,0.54
3124378,0.95
3131003,0.96
3133074,0.88
3133244,0.85
3138351,0.71
3142563,0.81
3147232,0.73
3152405,0.97
3162666,0.9
3164623,0.79
3168686,0.81
3175704,0.87
3177610,0.9
3183304,0.73
3186167,0.89
3188770,0.62
3193902,0.87
3194330,0.98
3197148,0.86
3197598,0.81
3199659,0.68
3207190,0.57
3213607,0.79
3215295,0.89
3217193,0.82
3219266,0.86
3219428,0.76
3219653,0.82
3226606,0.76
3229123,0.9
3229169,0.87
3230030,0.72
3230315,0.86
3241017,0.88
3246128,0.81
3248971,0.79
3250998,0.86
3258141,0.94
3258149,0.88
3260745,0.86
3264728,0.83
3264866,0.48
3269426,0.75
3270314,0.9
3271579,0.89
3282729,0.82
3284412,0.78
3290692,0.6
3294156,0.62
3302983,0.92
3309313,0.42
3310272,0.77
3312043,0.91
3315154,0.8
3315870,0.98
3329274,0.78
3330285,0.86
3331054,0.78
3339294,0.82
3340865,0.74
3342823,0.84
3344276,0.87
3348401,0.63
3354834,0.41
3359018,0.84
3364091,0.75
3364609,0.86
3369760,0.85
3369866,0.76
3370325,0.98
3370604,0.88
3377125,0.9
3379810,0.89
3380702,0.86
3382619,0.72
3382886,0.83
3382961,0.81
3386525,0.65
3400979,0.71
3402217,0.8
3402265,0.91
3406157,0.78
3415390,0.85
3424337,0.78
3425315,0.44
3425643,0.82
3425973,0.78
3429927,0.65
3433957,0.96
3440301,0.85
3441579,0.91
3442271,0.89
3448040,0.65
3458717,0.84
3462811,0.83
3463009,0.87
3464301,0.78
3479042,0.69
3479638,0.8
3486035,0.91
3499399,0.65
3511458,0.57
3512430,0.6
3521973,0.76
3534949,0.79
3540655,0.94
3543178,0.85
3544176,0.8
3549084,0.54
3550186,0.97
3554364,0.9
3558614,0.91
3562967,0.79
3563531,0.89
3563956,0.52
3569698,0.87
3573595,0.78
3574422,0.6
3577737,0.79
3592643,0.46
3594503,0.63
3594666,0.92
3599728,0.84
3604779,0.74
3609570,0.95
3621849,0.79
3622272,0.88
3626331,0.8
3627407,0.44
3629071,0.85
3629281,0.66
3636663,0.88
3637622,0.3
3638973,0.74
3646472,0.63
3651435,0.79
3653931,0.73
3655817,0.87
3663617,0.78
3664955,0.85
3667589,0.77
3678952,0.54
3678989,0.83
3679016,0.89
3688648,0.72
3697522,0.85
3698156,0.67
3703115,0.81
3705233,0.79
3710350,0.83
3717620,0.85
3719262,0.89
3724315,0.42
3731719,0.55
3731999,0.49
3739416,0.26
3742414,0.79
3749722,0.93
3756385,0.62
3766620,0.86
3767719,0.78
3768433,0.67
3773198,0.88
3775100,0.08
3782964,0.8
3792900,0.78
3792946,0.55
3802093,0.88
3803319,0.86
3811719,0.87
3812348,0.79
3827476,0.85
3829365,0.8
3832790,0.87
3833838,0.75
3833952,0.91
3840299,0.7
3849815,0.76
3852422,0.87
3857478,0.88
3859085,0.87
3861530,0.97
3864721,0.72
3869807,0.86
3870028,0.79
3875655,0.86
3877705,0.85
3880929,0.89
3888379,0.75
3917038,0.77
3922039,0.82
3922966,0.7
3923307,0.82
3923844,0.85
3924298,0.88
3924719,0.84
3925001,0.94
3929195,0.88
3930441,0.97
3931365,0.75
3932510,0.81
3932792,0.84
3932950,0.88
3935877,0.86
3936688,0.68
3937405,0.96
3939840,0.79
3940044,0.81
3950705,0.83
3954077,0.88
3971726,0.9
3971967,0.88
3971971,0.96
3972032,0.89
3972446,0.73
3978639,0.9
3979252,0.93
3984769,0.81
3986026,0.49
3990653,0.87
3992907,0.82
3994011,0.84
4013283,0.85
4017360,0.86
4020596,0.83
4022320,0.72
4025632,0.87
4029348,0.95
4033082,0.84
4033276,0.78
4038780,0.73
4040460,0.78
4050671,0.88
4053260,0.77
4054111,0.87
4060423,0.88
4069551,0.58
4070051,0.82
4073254,0.87
4075378,0.78
4076990,0.66
4081276,0.77
4090549,0.78
4091123,0.88
4091580,0.92
4096961,0.88
4100405,0.49
4104870,0.81
4108332,0.44
4108794,0.88
4119801,0.73
4120301,0.76
4126863,0.62
4137579,0.87
4137747,0.86
4137885,0.84
4139845,0.97
4145030,0.72
4145383,0.87
4169620,0.83
4179790,0.98
4183188,0.87
4183253,0.71
4183535,0.89
4187372,0.82
4187941,0.93
4197272,0.89
4202456,0.68
4205747,0.77
4214871,0.79
4215778,0.81
4216121,0.87
4219023,0.53
4223881,0.87
4225233,0.94
4226957,0.48
4234374,0.96
4243826,0.92
4244379,0.83
4256725,0.8
4257135,0.87
4257188,0.75
4258412,0.66
4267061,0.79
4276973,0.57
4277981,0.87
4278172,0.87
4278443,0.75
4279727,0.89
4279824,0.93
4280016,0.87
4280067,0.89
4282372,0.8
4294605,0.88
4297755,0.76
4301771,0.79
4310793,0.77
4311914,0.79
4318807,0.65
4320380,0.83
4321434,0.95
4329626,0.6
4334268,0.94
4334780,0.82
4334962,0.76
4348412,0.85
4351464,0.85
4351701,0.5
4358922,0.66
4370453,0.81
4376456,0.5
4377155,0.91
4379003,0.82
4379539,0.9
4395511,0.76
4404431,0.84
4412326,0.79
4415635,0.76
4418188,0.8
4418911,0.88
4422595,0.7
4430221,0.85
4438504,0.41
4447077,0.8
4455897,0.74
4458094,0.73
4465068,0.89
4471070,0.55
4475463,0.96
4475813,0.86
4482384,0.88
4484263,0.86
4484689,0.48
4492200,0.21
4492545,0.37
4493377,0.88
4493422,0.74
4493949,0.81
4497919,0.85
4503824,0.87
4507958,0.94
4516339,0.47
4516591,0.77
4520620,0.73
4529616,0.99
4530973,0.93
4535652,0.8
4540126,0.91
4549425,0.65
4558325,0.92
4558328,0.89
4563559,0.22
4565516,0.84
4566721,0.62
4568364,0.8
4571957,0.82
4574645,0.81
4575879,0.84
4579838,0.8
4580191,0.82
4581378,0.72
4585669,0.5
4588807,0.89
4595815,0.7
4599233,0.86
4601876,0.88
4603634,0.65
4615440,0.77
4616263,0.87
4624838,0.81
4635788,0.92
4637856,0.95
4642394,0.73
4652803,0.59
4659229,0.79
4661866,0.47
4662790,0.78
4662940,0.74
4663019,0.58
4663579,0.74
4668203,0.45
4669680,0.75
4671010,0.77
4671883,0.72
4671921,0.95
4672283,0.87
4673452,0.79
4676968,0.92
4678938,0.78
4679950,0.7
4679955,0.85
4688281,0.82
4692378,0.22
4694785,0.9
4699429,0.95
4699761,0.43
4700353,0.97
4700691,0.74
4701041,0.48
4701190,0.9
4701728,0.76
4706926,0.82
4708835,0.89
4708992,0.76
4710136,0.89
4718514,0.74
4727400,0.82
4730381,0.85
4734218,0.48
4736685,0.37
4738920,0.8
4743645,0.64
4745683,0.41
4747128,0.84
4750234,0.92
4754122,0.86
4757549,0.83
4757621,0.77
4762494,0.81
4762850,0.79
4767486,0.46
4774697,0.8
4775138,0.8
4777728,0.93
4786686,0.96
4787924,0.86
4791619,0.78
4808701,0.82
4813554,0.48
4815187,0.87
4816575,0.8
4817453,0.89
4821682,0.72
4821997,0.85
4822411,0.57
4824175,0.87
4824784,0.73
4846849,0.85
4846908,0.95
4848038,0.86
4849995,0.87
4853419,0.83
4856515,0.76
4860596,0.89
4862291,0.81
4867420,0.83
4867994,0.75
4880455,0.68
4882159,0.82
4882336,0.82
