city,name,latitude,longitude,type
montreal,Musée des Beaux-Arts de Montréal,45.4986971,-73.5793846,museum
montreal,Belvédère Léo-Ayotte,45.5232225,-73.5687441,viewpoint
montreal,Musée des ondes Emile Berliner,45.4775501,-73.5924031,museum
montreal,Orbite,45.5234727,-73.5366891,attraction
montreal,Spirale,45.5254684,-73.5346985,attraction
montreal,Condor,45.5241891,-73.5345606,attraction
montreal,Monument à Maisonneuve,45.5047970,-73.5572556,artwork
montreal,L'Homme,45.5106209,-73.5367663,artwork
montreal,Écluse 6,45.4425219,-73.2697318,attraction
montreal,Jérôme Le Royer de La Dauversière,45.5084317,-73.5535232,artwork
montreal,Fossé du Petit Bois,45.6703217,-73.4049891,attraction
montreal,Écluse 4,45.4437184,-73.2736866,attraction
montreal,Écluse 5,45.4429459,-73.2712769,attraction
montreal,"Écluses 1,2,3",45.4478255,-73.2832232,attraction
montreal,Belvédère sur la rivière,45.6504983,-73.7701434,viewpoint
montreal,Observatoire de la Tour de Montréal,45.5583923,-73.5518043,viewpoint
montreal,Frère André,45.5032905,-73.5666356,artwork
montreal,Leonard & Bina Ellen Art Gallery,45.4970539,-73.5776491,gallery
montreal,FOFA Gallery,45.4955911,-73.5775043,gallery
montreal,VAV Gallery,45.4955648,-73.5736902,gallery
montreal,Entre Nous,45.5029227,-73.5540542,attraction
montreal,Le Grand Carrousel,45.5226397,-73.5342202,attraction
montreal,Cloche de l'Amitié,45.5603990,-73.5601941,attraction
montreal,Croix du Mont-Royal,45.5088387,-73.5879016,attraction
montreal,La Joute,45.5035133,-73.5616061,artwork
montreal,Musée de l'Oratoire,45.4924417,-73.6172640,museum
montreal,Belvédère,45.6359370,-73.6902856,viewpoint
montreal,Musée des Pompiers de Montréal,45.5230566,-73.5930927,museum
montreal,Vitrerie,45.5190658,-73.5772901,artwork
montreal,Espression D'Asie,45.4418889,-73.6692079,artwork
montreal,Espace Projet,45.5402274,-73.6234793,museum
montreal,Arbre d'observation,45.3635564,-73.7721677,viewpoint
montreal,"MAI (Montréal, Arts Interculturels)",45.5116247,-73.5762025,artwork
montreal,Galerie de Chine,45.5069545,-73.5607177,gallery
